Training Samples,Testing Samples,Model,Recognition Algorithm,Hidden Layer Neurons,No. of Epoches,Training Time(sec),Avg. System Accuracy(%),Precesion(%),Recall(%),F1score(%)
5246,2248,MLP,SGD,20,10,2.8184,97.53,88.00,87.63,87.81
5246,2248,MLP,SGD,20,10,3.0449,97.15,86.17,85.93,86.05
