Training Samples,Testing Samples,Model,Recognition Algorithm,Hidden Layer Neurons,No. of Epoches,Training Time(sec),Avg. System Accuracy(%),Precesion(%),Recall(%),F1score(%)
5246,2248,RBF,ExpAdam,20,10,14.5856,96.83,85.31,83.95,84.62
5246,2248,RBF,ExpAdam,20,100,138.0197,98.81,94.27,94.02,94.14
